Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
CASP4,DNAAF5,HEK-293 cell
GSTK1,HRNR,HEK-293 cell
MAGED1,COPG2,HEK-293 cell
PTP4A3,USO1,HEK-293 cell
ARRB1,PES1,HEK-293 cell
GSTK1,RPN1,HEK-293 cell
PPM1B,GSN,HEK-293 cell
PTP4A3,ATAD3A,HEK-293 cell
SIRT2,GYS1,HEK-293 cell
SERINC3,SLC16A1,HEK-293 cell
YWHAZ,PAK4,HEK-293 cell
ATIC,RADIL,HEK-293 cell
BAK1,KRT31,HEK-293 cell
MED7,BARHL1,HEK-293 cell
GSTK1,HTR1B,HEK-293 cell
EIF6,GTPBP4,HEK-293 cell
MCC,EIF3A,HEK-293 cell
PARP3,MTHFD2,HEK-293 cell
PSMD10,PAAF1,HEK-293 cell
PTP4A3,POLD1,HEK-293 cell
SNRPB,SART3,HEK-293 cell
UBE2G2,AMFR,HEK-293 cell
YWHAG,KRT31,HEK-293 cell
NUAK1,IGHA2,HEK-293 cell
ARRB1,DDX27,HEK-293 cell
ARRB1,KPNA3,HEK-293 cell
ARRB1,ZRANB2,HEK-293 cell
ASF1B,MMS22L,HEK-293 cell
MED7,FXR2,HEK-293 cell
DGKE,NUDC,HEK-293 cell
NFKBIL1,MRPS18B,HEK-293 cell
PHLDA3,SLC25A12,HEK-293 cell
PITPNA,MORF4L2,HEK-293 cell
RNPS1,RANBP9,HEK-293 cell
RUVBL2,USP7,HEK-293 cell
TFE3,EPRS,HEK-293 cell
USF2,SERPINB3,HEK-293 cell
BAK1,VDAC2,HEK-293 cell
GNAS,FSCN1,HEK-293 cell
TFE3,PFAS,HEK-293 cell
NUAK1,PRPSAP1,HEK-293 cell
ARRB1,RPL7L1,HEK-293 cell
FKBP4,LOXHD1,HEK-293 cell
PARP3,HIST2H2BE,HEK-293 cell
PHLDA3,PDXDC1,HEK-293 cell
PINX1,RPS3A,HEK-293 cell
PPP4C,PPP2R1A,HEK-293 cell
TWF2,CAPZA1,HEK-293 cell
TWF2,CAPZB,HEK-293 cell
SPOP,DOK2,HEK-293 cell
AURKA,RAB10,HEK-293 cell
TRIP6,STOM,HEK-293 cell
YWHAB,MARK3,HEK-293 cell
YWHAZ,TJP2,HEK-293 cell
ILK,MMS19,HEK-293 cell
LYAR,RPL18A,HEK-293 cell
PPM1B,VCP,HEK-293 cell
PTP4A3,ATP2A2,HEK-293 cell
PTP4A3,SMC2,HEK-293 cell
PHB2,NUP205,HEK-293 cell
DSTYK,UBE2K,HEK-293 cell
RNPS1,SRRM1,HEK-293 cell
TRAF6,VCP,HEK-293 cell
YWHAG,MARK3,HEK-293 cell
CD2BP2,P4HB,HEK-293 cell
CTNNBIP1,GOT2,HEK-293 cell
MCC,PFAS,HEK-293 cell
PNKP,LAS1L,HEK-293 cell
RUVBL2,RPS11,HEK-293 cell
CD40,RFC5,HEK-293 cell
TRAF6,IARS,HEK-293 cell
UBE2I,UBA2,HEK-293 cell
YWHAG,KRT85,HEK-293 cell
YWHAZ,TRA2B,HEK-293 cell
ATIC,STOM,HEK-293 cell
FBXO4,NEDD8,HEK-293 cell
HNF4A,RAD50,HEK-293 cell
HTR1E,PSMC3,HEK-293 cell
KPTN,RAB25,HEK-293 cell
MPDU1,SLC1A5,HEK-293 cell
PHLDA3,LRPPRC,HEK-293 cell
PINX1,RPS19,HEK-293 cell
GIPC1,MCM7,HEK-293 cell
SAP18,YARS,HEK-293 cell
SNRPB,GEMIN4,HEK-293 cell
VHL,APRT,HEK-293 cell
YWHAG,KIF5C,HEK-293 cell
CASP4,SRPRB,HEK-293 cell
GSTK1,EFTUD2,HEK-293 cell
PRKRA,IGF2BP1,HEK-293 cell
PHB2,USP15,HEK-293 cell
RNF167,CCDC59,HEK-293 cell
RUVBL1,E2F7,HEK-293 cell
SNAI1,TTC25,HEK-293 cell
USF2,S100A9,HEK-293 cell
VHL,CDK2,HEK-293 cell
VHL,PKD1L3,HEK-293 cell
CDC42BPB,RPL3,HEK-293 cell
AKTIP,PDS5A,HEK-293 cell
DSTYK,PSMB3,HEK-293 cell
RNPS1,CPSF2,HEK-293 cell
ARF6,PABPC4,HEK-293 cell
CASP4,NUP93,HEK-293 cell
PACSIN3,NOL3,HEK-293 cell
PMVK,SSB,HEK-293 cell
PHB2,MMS19,HEK-293 cell
TRIP6,KCTD5,HEK-293 cell
TRIP6,THRAP3,HEK-293 cell
ARHGDIA,DHX9,HEK-293 cell
BCAR3,TARS,HEK-293 cell
DEGS1,TSSC1,HEK-293 cell
DYNLL1,PABPC1,HEK-293 cell
FADS1,DHCR7,HEK-293 cell
STYXL1,AES,HEK-293 cell
PNKP,NUP93,HEK-293 cell
SAP18,KIAA1279,HEK-293 cell
STK24,APOD,HEK-293 cell
YWHAG,RAF1,HEK-293 cell
BRE,BRCC3,HEK-293 cell
CD2BP2,RAD54B,HEK-293 cell
EIF2B1,EIF2B5,HEK-293 cell
MCC,IARS,HEK-293 cell
